,type,typicality_score,dir,top5_labels,label,7_score
98,Lighthouse,97.6,Image/All_Cropped\Lighthouse\11.jpg,"{'beacon': 0.9762085676193237, 'breakwater': 0.021111859008669853, 'promontory': 0.0007130677113309503, 'monastery': 0.0003868358035106212, 'submarine': 0.00025282386923208833}",beacon,6.8
99,Lighthouse,51.0,Image/All_Cropped\Lighthouse\12.jpg,"{'beacon': 0.5103374123573303, 'totem pole': 0.14685416221618652, 'flagpole': 0.0875287801027298, 'pole': 0.0755075067281723, 'maypole': 0.04788745194673538}",beacon,3.6
100,Lighthouse,76.3,Image/All_Cropped\Lighthouse\13.jpg,"{'beacon': 0.7631182074546814, 'paddlewheel': 0.08002158999443054, 'drilling platform': 0.039759159088134766, 'breakwater': 0.02893812395632267, 'dock': 0.022567100822925568}",beacon,5.3
101,Lighthouse,36.0,Image/All_Cropped\Lighthouse\14.jpg,"{'beacon': 0.3597436845302582, 'bell cote': 0.2627246677875519, 'drilling platform': 0.09018697589635849, 'breakwater': 0.0639510378241539, 'container ship': 0.027076898142695427}",beacon,2.5
102,Lighthouse,59.7,Image/All_Cropped\Lighthouse\15.jpg,"{'beacon': 0.5970438122749329, 'monastery': 0.1345992237329483, 'church': 0.06249871104955673, 'dome': 0.04976634308695793, 'palace': 0.046711623668670654}",beacon,4.2
103,Lighthouse,62.0,Image/All_Cropped\Lighthouse\16.jpg,"{'drilling platform': 0.6195699572563171, 'totem pole': 0.07687928527593613, 'bell cote': 0.07256066054105759, 'beacon': 0.06464211642742157, 'pedestal': 0.024028467014431953}",drilling platform,4.3
104,Lighthouse,68.4,Image/All_Cropped\Lighthouse\2.jpg,"{'beacon': 0.683592677116394, 'castle': 0.22776243090629578, 'breakwater': 0.029654374346137047, 'monastery': 0.019927090033888817, 'promontory': 0.017214173451066017}",beacon,4.8
105,Lighthouse,48.4,Image/All_Cropped\Lighthouse\3.jpg,"{'beacon': 0.48419278860092163, 'castle': 0.22736573219299316, 'breakwater': 0.08291923999786377, 'promontory': 0.050776246935129166, 'drilling platform': 0.022705553099513054}",beacon,3.4
106,Lighthouse,96.7,Image/All_Cropped\Lighthouse\4.jpg,"{'beacon': 0.9673541784286499, 'mosque': 0.005128292832523584, 'bell cote': 0.004305161070078611, 'pedestal': 0.0037524544168263674, 'castle': 0.0028379575815051794}",beacon,6.8
107,Lighthouse,100.0,Image/All_Cropped\Lighthouse\5.jpg,"{'beacon': 0.999691367149353, 'breakwater': 0.00030044084996916354, 'water tower': 1.982503817998804e-06, 'missile': 1.009067545965081e-06, 'container ship': 6.880678142806573e-07}",beacon,7.0
108,Lighthouse,89.4,Image/All_Cropped\Lighthouse\6.jpg,"{'beacon': 0.8942961692810059, 'breakwater': 0.06812363862991333, 'promontory': 0.007283060345798731, 'castle': 0.00343290320597589, 'drilling platform': 0.0023981507401913404}",beacon,6.3
109,Lighthouse,44.2,Image/All_Cropped\Lighthouse\7.jpg,"{'beacon': 0.4423571527004242, 'lakeside': 0.22686146199703217, 'boathouse': 0.06638658046722412, 'promontory': 0.055480655282735825, 'pier': 0.04122697189450264}",beacon,3.1
110,Lighthouse,33.5,Image/All_Cropped\Lighthouse\8.jpg,"{'boathouse': 0.3353740870952606, 'beacon': 0.1534191220998764, 'breakwater': 0.1026979386806488, 'paddlewheel': 0.08270076662302017, 'pier': 0.04675423726439476}",boathouse,2.3
111,Lighthouse,71.7,Image/All_Cropped\Lighthouse\9.jpg,"{'beacon': 0.7166114449501038, 'container ship': 0.0662928894162178, 'drilling platform': 0.017479419708251953, 'crane': 0.010408880189061165, 'cocktail shaker': 0.00911369826644659}",beacon,5.0
112,Church,66.4,Image/All_Cropped\Church\1.jpg,"{'greenhouse': 0.664426326751709, 'barn': 0.09871842712163925, 'boathouse': 0.057887911796569824, 'church': 0.04126502200961113, 'dome': 0.029501643031835556}",greenhouse,4.6
113,Church,60.5,Image/All_Cropped\Church\10.jpg,"{'monastery': 0.6051910519599915, 'church': 0.24712853133678436, 'bell cote': 0.06126726418733597, 'palace': 0.03258081153035164, 'mosque': 0.010491074062883854}",monastery,4.2
114,Church,66.6,Image/All_Cropped\Church\11.jpg,"{'planetarium': 0.6661593317985535, 'water tower': 0.14921103417873383, 'monastery': 0.016790997236967087, 'prison': 0.016395246610045433, 'dome': 0.016121355816721916}",planetarium,4.7
115,Church,49.4,Image/All_Cropped\Church\12.jpg,"{'dome': 0.4939521253108978, 'church': 0.2171505093574524, 'monastery': 0.15937086939811707, 'mosque': 0.07340346276760101, 'palace': 0.04525526612997055}",dome,3.5
116,Church,46.8,Image/All_Cropped\Church\13.jpg,"{'monastery': 0.46770671010017395, 'church': 0.22654078900814056, 'castle': 0.19790297746658325, 'bell cote': 0.08384615927934647, 'palace': 0.0093341413885355}",monastery,3.3
117,Church,29.9,Image/All_Cropped\Church\14.jpg,"{'palace': 0.29874300956726074, 'monastery': 0.13976934552192688, 'church': 0.09485349804162979, 'mosque': 0.0888071358203888, 'altar': 0.06783866137266159}",palace,2.1
118,Church,27.3,Image/All_Cropped\Church\15.jpg,"{'stupa': 0.27295970916748047, 'monastery': 0.14600326120853424, 'church': 0.11151453107595444, 'tile roof': 0.07318583130836487, 'bell cote': 0.07249388843774796}",stupa,1.9
119,Church,60.7,Image/All_Cropped\Church\16.jpg,"{'monastery': 0.6067661046981812, 'palace': 0.11259970813989639, 'church': 0.0828947201371193, 'bell cote': 0.04718300700187683, 'castle': 0.04017509147524834}",monastery,4.2
120,Church,30.1,Image/All_Cropped\Church\2.jpg,"{'church': 0.30112969875335693, 'castle': 0.2780655324459076, 'monastery': 0.1905738264322281, 'bell cote': 0.16721883416175842, 'palace': 0.016369817778468132}",church,2.1
121,Church,41.0,Image/All_Cropped\Church\3.jpg,"{'bell cote': 0.40956321358680725, 'monastery': 0.2541408836841583, 'church': 0.12386712431907654, 'castle': 0.10596352070569992, 'beacon': 0.03312591835856438}",bell cote,2.9
122,Church,44.0,Image/All_Cropped\Church\4.jpg,"{'church': 0.43961626291275024, 'beacon': 0.2186305820941925, 'bell cote': 0.1208428293466568, 'monastery': 0.04945385828614235, 'boathouse': 0.04928601160645485}",church,3.1
123,Church,49.1,Image/All_Cropped\Church\5.jpg,"{'church': 0.4907413423061371, 'bell cote': 0.23466534912586212, 'monastery': 0.1251372992992401, 'castle': 0.03155408799648285, 'palace': 0.018933987244963646}",church,3.4
124,Church,91.9,Image/All_Cropped\Church\6.jpg,"{'barn': 0.9191867113113403, 'church': 0.03191797062754631, 'boathouse': 0.022621534764766693, 'worm fence': 0.002994983457028866, 'mobile home': 0.002410127781331539}",barn,6.4
125,Church,64.7,Image/All_Cropped\Church\7.jpg,"{'monastery': 0.6467804312705994, 'church': 0.15323884785175323, 'bell cote': 0.10257687419652939, 'palace': 0.0204290971159935, 'beacon': 0.020258404314517975}",monastery,4.5
126,Church,40.5,Image/All_Cropped\Church\8.jpg,"{'church': 0.4047333896160126, 'boathouse': 0.2274886965751648, 'beacon': 0.12242543697357178, 'picket fence': 0.028233515098690987, 'solar dish': 0.02094482257962227}",church,2.8
127,Church,44.6,Image/All_Cropped\Church\9.jpg,"{'church': 0.44589120149612427, 'monastery': 0.33257579803466797, 'palace': 0.10049477219581604, 'bell cote': 0.051114585250616074, 'altar': 0.025947274640202522}",church,3.1
