,type,typicality_score,dir,top5_labels,label,7_score
67,Car,25.2,Image/All_Cropped\Car\13.jpg,"{'sports car': 0.2523902952671051, 'warplane': 0.24110159277915955, 'convertible': 0.09909256547689438, 'wing': 0.09165621548891068, 'airliner': 0.09114847332239151}",sports car,1.8
68,Car,26.6,Image/All_Cropped\Car\14.jpg,"{'beach wagon': 0.2660018801689148, 'minivan': 0.23398947715759277, 'pickup': 0.11051920801401138, 'limousine': 0.10165003687143326, 'cab': 0.09354247152805328}",beach wagon,1.9
69,Car,51.4,Image/All_Cropped\Car\15.jpg,"{'sports car': 0.5143983960151672, 'racer': 0.1255083829164505, 'convertible': 0.11440110206604004, 'beach wagon': 0.08037333190441132, 'limousine': 0.05741044133901596}",sports car,3.6
70,Car,21.5,Image/All_Cropped\Car\16.jpg,"{'sports car': 0.21500128507614136, 'car mirror': 0.17088203132152557, 'solar dish': 0.152940034866333, 'convertible': 0.12018810212612152, 'mountain tent': 0.04036615788936615}",sports car,1.5
71,Car,30.7,Image/All_Cropped\Car\2.jpg,"{'sports car': 0.30726712942123413, 'beach wagon': 0.2500922381877899, 'minivan': 0.12496677786111832, 'racer': 0.1010795384645462, 'car wheel': 0.06121430918574333}",sports car,2.1
72,Car,85.6,Image/All_Cropped\Car\3.jpg,"{'sports car': 0.8564506769180298, 'racer': 0.09087750315666199, 'convertible': 0.014172587543725967, 'beach wagon': 0.006856454536318779, 'car wheel': 0.005964136682450771}",sports car,6.0
73,Car,25.1,Image/All_Cropped\Car\4.jpg,"{'sports car': 0.25075140595436096, 'racer': 0.16023987531661987, 'police van': 0.14978477358818054, 'ambulance': 0.12325025349855423, 'convertible': 0.10798608511686325}",sports car,1.8
74,Car,25.4,Image/All_Cropped\Car\5.jpg,"{'jinrikisha': 0.2540828287601471, 'pickup': 0.11277363449335098, 'beach wagon': 0.07891307771205902, 'Model T': 0.07771572470664978, 'minivan': 0.06913557648658752}",jinrikisha,1.8
75,Car,45.8,Image/All_Cropped\Car\6.jpg,"{'racer': 0.4581846296787262, 'sports car': 0.39287492632865906, 'police van': 0.059940580278635025, 'passenger car': 0.022209957242012024, 'warplane': 0.01104484498500824}",racer,3.2
76,Car,39.5,Image/All_Cropped\Car\7.jpg,"{'stretcher': 0.39487865567207336, 'beach wagon': 0.1981925219297409, 'convertible': 0.05555248260498047, 'sports car': 0.05190613865852356, 'car wheel': 0.03187781199812889}",stretcher,2.8
77,Car,26.4,Image/All_Cropped\Car\8.jpg,"{'sports car': 0.26387161016464233, 'convertible': 0.2289748638868332, 'beach wagon': 0.20622549951076508, 'grille': 0.11013639718294144, 'racer': 0.07665024697780609}",sports car,1.8
78,Car,55.5,Image/All_Cropped\Car\9.jpg,"{'convertible': 0.5551386475563049, 'beach wagon': 0.17270301282405853, 'pickup': 0.07523812353610992, 'minivan': 0.042694151401519775, 'grille': 0.0403079092502594}",convertible,3.9
79,Plane,97.5,Image/All_Cropped\Plane\1.jpg,"{'airliner': 0.9752678275108337, 'wing': 0.02062726952135563, 'warplane': 0.00269535044208169, 'space shuttle': 0.000575053330976516, 'missile': 0.0003377302782610059}",airliner,6.8
80,Plane,93.2,Image/All_Cropped\Plane\10.jpg,"{'airliner': 0.9318053126335144, 'wing': 0.060936760157346725, 'space shuttle': 0.004513687454164028, 'warplane': 0.002717675408348441, 'aircraft carrier': 1.691996840236243e-05}",airliner,6.5
81,Plane,16.5,Image/All_Cropped\Plane\11.jpg,"{'bobsled': 0.16467441618442535, 'snorkel': 0.12376928329467773, 'snowmobile': 0.09916823357343674, 'bathing cap': 0.039991676807403564, 'bikini': 0.032962266355752945}",bobsled,1.2
82,Plane,78.1,Image/All_Cropped\Plane\12.jpg,"{'paddlewheel': 0.780563473701477, 'wing': 0.03167154639959335, 'missile': 0.026644259691238403, 'plow': 0.026291660964488983, 'airliner': 0.015194055624306202}",paddlewheel,5.5
83,Plane,19.7,Image/All_Cropped\Plane\13.jpg,"{'wing': 0.19679349660873413, 'speedboat': 0.12102990597486496, 'amphibian': 0.11912306398153305, 'warplane': 0.10659370571374893, 'airliner': 0.08078553527593613}",wing,1.4
84,Plane,22.1,Image/All_Cropped\Plane\14.jpg,"{'pier': 0.2214868664741516, 'suspension bridge': 0.16875402629375458, 'dam': 0.07766672223806381, 'steel arch bridge': 0.0674830973148346, 'container ship': 0.03533503785729408}",pier,1.5
85,Plane,60.6,Image/All_Cropped\Plane\15.jpg,"{'speedboat': 0.6056810617446899, 'trimaran': 0.06659916043281555, 'paddle': 0.06028730794787407, 'sandbar': 0.04611605405807495, 'amphibian': 0.04043255001306534}",speedboat,4.2
86,Plane,42.7,Image/All_Cropped\Plane\16.jpg,"{'warplane': 0.427274614572525, 'projectile': 0.09577281028032303, 'airliner': 0.08555538207292557, 'aircraft carrier': 0.07478829473257065, 'missile': 0.07261094450950623}",warplane,3.0
87,Plane,25.6,Image/All_Cropped\Plane\2.jpg,"{'lifeboat': 0.25610920786857605, 'speedboat': 0.23349565267562866, 'airliner': 0.10884008556604385, 'trimaran': 0.07163349539041519, 'wing': 0.06722667068243027}",lifeboat,1.8
88,Plane,43.2,Image/All_Cropped\Plane\3.jpg,"{'grocery store': 0.4317936897277832, 'toyshop': 0.07280454784631729, 'syringe': 0.06013597548007965, 'tobacco shop': 0.05847020447254181, 'confectionery': 0.046131864190101624}",grocery store,3.0
89,Plane,54.8,Image/All_Cropped\Plane\4.jpg,"{'space shuttle': 0.5480190515518188, 'trimaran': 0.2346714735031128, 'catamaran': 0.08221050351858139, 'tank': 0.03149117901921272, 'submarine': 0.014756731688976288}",space shuttle,3.8
90,Plane,47.8,Image/All_Cropped\Plane\5.jpg,"{'warplane': 0.4779236614704132, 'airliner': 0.28507986664772034, 'aircraft carrier': 0.1804906576871872, 'wing': 0.050028372555971146, 'space shuttle': 0.0036786289419978857}",warplane,3.3
91,Plane,91.0,Image/All_Cropped\Plane\6.jpg,"{'airliner': 0.9095500111579895, 'wing': 0.029709020629525185, 'crane': 0.022810935974121094, 'warplane': 0.01392720639705658, 'aircraft carrier': 0.011136888526380062}",airliner,6.4
92,Plane,63.1,Image/All_Cropped\Plane\7.jpg,"{'airliner': 0.6305175423622131, 'projectile': 0.163102924823761, 'missile': 0.05613207072019577, 'space shuttle': 0.04805311933159828, 'warplane': 0.026293346658349037}",airliner,4.4
93,Plane,7.0,Image/All_Cropped\Plane\8.jpg,"{'racket': 0.06975988298654556, 'hand-held computer': 0.06797601282596588, 'magnetic compass': 0.030864952132105827, 'ocarina': 0.02514338120818138, 'swimming trunks': 0.024803631007671356}",racket,0.5
94,Plane,95.3,Image/All_Cropped\Plane\9.jpg,"{'airliner': 0.953214168548584, 'wing': 0.020766153931617737, 'warplane': 0.020019659772515297, 'space shuttle': 0.005456596612930298, 'missile': 0.00016448133101221174}",airliner,6.7
95,Lighthouse,72.7,Image/All_Cropped\Lighthouse\1.jpg,"{'beacon': 0.7266282439231873, 'breakwater': 0.26995235681533813, 'container ship': 0.0027223441284149885, 'projectile': 0.00015580144827254117, 'liner': 0.00013283743464853615}",beacon,5.1
96,Lighthouse,82.2,Image/All_Cropped\Lighthouse\10.jpg,"{'beacon': 0.8223848342895508, 'castle': 0.07781242579221725, 'breakwater': 0.0670476108789444, 'church': 0.012525396421551704, 'bell cote': 0.0032989431638270617}",beacon,5.8
