,type,typicality_score,dir,top5_labels,7_score
102,Lighthouse,81.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Lighthouse/6.jpg,"{'beacon': 0.8185284733772278, 'breakwater': 0.03348320722579956, 'mosque': 0.012533370405435562, 'promontory': 0.009138683788478374, 'pedestal': 0.0059130750596523285}",5.7
103,Lighthouse,49.7,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Lighthouse/4.jpg,"{'beacon': 0.4971889555454254, 'pedestal': 0.026204563677310944, 'breakwater': 0.024819519370794296, 'pier': 0.016612501814961433, 'mosque': 0.01177109032869339}",3.5
104,Lighthouse,77.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Lighthouse/2.jpg,"{'beacon': 0.7792869806289673, 'breakwater': 0.17428535223007202, 'monastery': 0.009730028919875622, 'church': 0.005976324900984764, 'castle': 0.0037170571740716696}",5.5
105,Lighthouse,73.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Lighthouse/12.jpg,"{'beacon': 0.7341082096099854, 'flagpole': 0.022684942930936813, 'pole': 0.015721390023827553, 'water tower': 0.008196033537387848, 'mosque': 0.007773451041430235}",5.1
106,Lighthouse,43.5,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Lighthouse/3.jpg,"{'beacon': 0.4348517656326294, 'castle': 0.131893128156662, 'breakwater': 0.10437606275081635, 'bell cote': 0.05361686274409294, 'monastery': 0.04512347653508186}",3.0
107,Lighthouse,62.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Lighthouse/14.jpg,"{'beacon': 0.6222225427627563, 'breakwater': 0.1573510766029358, 'bell cote': 0.012975015677511692, 'fireboat': 0.0117217767983675, 'water tower': 0.010868282057344913}",4.4
108,Lighthouse,79.7,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Lighthouse/15.jpg,"{'beacon': 0.7966042160987854, 'picket fence': 0.0508759580552578, 'dome': 0.026192305609583855, 'monastery': 0.025836681947112083, 'church': 0.017204664647579193}",5.6
109,Lighthouse,91.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Lighthouse/10.jpg,"{'beacon': 0.9190044403076172, 'breakwater': 0.03498104587197304, 'water tower': 0.004063650034368038, 'castle': 0.0022680938709527254, 'mosque': 0.0010067361872643232}",6.4
110,Lighthouse,83.5,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Lighthouse/1.jpg,"{'beacon': 0.8353677988052368, 'breakwater': 0.028442617505788803, 'pedestal': 0.012672515586018562, 'mosque': 0.008190348744392395, 'soap dispenser': 0.0037804129533469677}",5.8
111,Lighthouse,24.8,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Lighthouse/16.jpg,"{'totem pole': 0.24750705063343048, 'beacon': 0.18810094892978668, 'pole': 0.028501812368631363, 'pedestal': 0.014087851159274578, 'breakwater': 0.012118855491280556}",1.7
112,Church,40.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/7.jpg,"{'church': 0.4004180431365967, 'monastery': 0.26701077818870544, 'bell cote': 0.21497970819473267, 'beacon': 0.042778126895427704, 'birdhouse': 0.00993865542113781}",2.8
113,Church,49.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/16.jpg,"{'palace': 0.49194756150245667, 'monastery': 0.23603181540966034, 'church': 0.07863481342792511, 'mosque': 0.023113124072551727, 'bell cote': 0.022282740101218224}",3.4
114,Church,57.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/13.jpg,"{'bell cote': 0.5719355344772339, 'church': 0.31366387009620667, 'monastery': 0.0726214051246643, 'castle': 0.006833434104919434, 'boathouse': 0.00394680630415678}",4.0
115,Church,38.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/3.jpg,"{'bell cote': 0.3856089115142822, 'monastery': 0.12282472103834152, 'church': 0.09219856560230255, 'beacon': 0.06862415373325348, 'barn': 0.042190711945295334}",2.7
116,Church,76.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/5.jpg,"{'church': 0.769049882888794, 'monastery': 0.0834728479385376, 'bell cote': 0.052698757499456406, 'castle': 0.03157021850347519, 'palace': 0.004152722656726837}",5.4
117,Church,44.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/14.jpg,"{'palace': 0.44160088896751404, 'monastery': 0.06994447857141495, 'church': 0.05473114550113678, 'mosque': 0.048923101276159286, 'castle': 0.03873243182897568}",3.1
118,Church,81.5,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/6.jpg,"{'barn': 0.8147909045219421, 'church': 0.09341556578874588, 'boathouse': 0.035358723253011703, 'bell cote': 0.002630799077451229, 'beacon': 0.0025521155912429094}",5.7
119,Church,70.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/15.jpg,"{'stupa': 0.7057384848594666, 'bell cote': 0.13329102098941803, 'monastery': 0.04002969712018967, 'pedestal': 0.02260337769985199, 'dome': 0.010906350798904896}",4.9
120,Church,47.3,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/9.jpg,"{'church': 0.4732339680194855, 'monastery': 0.19302880764007568, 'palace': 0.10700709372758865, 'mosque': 0.058806970715522766, 'dome': 0.03668047487735748}",3.3
121,Church,40.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/1.jpg,"{'greenhouse': 0.4017549157142639, 'dome': 0.08789120614528656, 'barn': 0.0736522525548935, 'planetarium': 0.03283011168241501, 'church': 0.023057347163558006}",2.8
122,Church,43.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/11.jpg,"{'water tower': 0.4391613006591797, 'planetarium': 0.3532218039035797, 'cinema': 0.02411382459104061, 'mosque': 0.014861212112009525, 'triumphal arch': 0.013750004582107067}",3.1
123,Church,45.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/8.jpg,"{'church': 0.45231497287750244, 'boathouse': 0.08686136454343796, 'beacon': 0.049526818096637726, 'picket fence': 0.04100466147065163, 'barn': 0.03690416365861893}",3.2
124,Church,88.5,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/4.jpg,"{'church': 0.8850734829902649, 'monastery': 0.07989146560430527, 'bell cote': 0.016570158302783966, 'castle': 0.005716507788747549, 'boathouse': 0.0016817876603454351}",6.2
125,Church,77.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/10.jpg,"{'church': 0.7739979028701782, 'bell cote': 0.07349551469087601, 'monastery': 0.03618317469954491, 'castle': 0.01317561138421297, 'palace': 0.011694828979671001}",5.4
126,Church,69.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/2.jpg,"{'church': 0.6936759948730469, 'bell cote': 0.22846119105815887, 'monastery': 0.03010542504489422, 'castle': 0.024520350620150566, 'barn': 0.00295824627391994}",4.9
127,Church,66.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Architecture/Church/12.jpg,"{'monastery': 0.6659095287322998, 'church': 0.1650848239660263, 'mosque': 0.07368005067110062, 'palace': 0.06409741938114166, 'dome': 0.015180063433945179}",4.7
