,type,typicality_score,dir,top5_labels,7_score
49,Banana,100.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/5.jpg,"{'banana': 0.9999690055847168, 'Madagascar cat': 7.843850653443951e-06, 'cucumber': 5.275496732792817e-06, 'indri': 3.9100177673390135e-06, 'orange': 2.5652304884715704e-06}",7.0
50,Banana,50.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/3.jpg,"{'banana': 0.5044532418251038, 'clog': 0.21429859101772308, 'shoe shop': 0.087498240172863, 'cowboy boot': 0.012894347310066223, 'hook': 0.012145704589784145}",3.5
51,Banana,49.8,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/9.jpg,"{'banana': 0.49804991483688354, 'knot': 0.12052169442176819, 'brassiere': 0.06117083877325058, 'hook': 0.019243137910962105, 'dumbbell': 0.01339775137603283}",3.5
52,Banana,100.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/1.jpg,"{'banana': 0.9997929930686951, 'orange': 4.230979538988322e-05, 'grocery store': 2.4453986043226905e-05, 'Madagascar cat': 2.1660940547008067e-05, 'spaghetti squash': 1.2651957149500959e-05}",7.0
53,Banana,55.1,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/15.jpg,"{'slug': 0.5510444641113281, 'banana': 0.12162698805332184, 'eel': 0.08476442098617554, 'hook': 0.06946466863155365, 'nematode': 0.0341918058693409}",3.9
54,Banana,90.7,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/10.jpg,"{'banana': 0.9068917632102966, 'hook': 0.038116734474897385, 'corkscrew': 0.005769484676420689, 'eel': 0.004180589225143194, 'clog': 0.0030606864020228386}",6.3
55,Banana,62.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/12.jpg,"{'cleaver': 0.6221790909767151, 'banana': 0.08546404540538788, 'hatchet': 0.034612130373716354, 'paintbrush': 0.025235719978809357, 'spatula': 0.018888527527451515}",4.4
56,Banana,100.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/7.jpg,"{'banana': 0.9999958276748657, 'orange': 1.059881697074161e-06, 'spaghetti squash': 7.047438543850149e-07, 'butternut squash': 6.576400437552365e-07, 'Madagascar cat': 6.54564757951448e-07}",7.0
57,Banana,8.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/14.jpg,"{'toilet seat': 0.08623594790697098, 'mortar': 0.05730539187788963, 'plate': 0.048882924020290375, 'tray': 0.03529166430234909, 'hook': 0.027578717097640038}",0.6
58,Banana,82.8,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/11.jpg,"{'banana': 0.8277425765991211, 'clog': 0.03092454932630062, 'hook': 0.02119961567223072, 'cowboy boot': 0.01897815801203251, 'cucumber': 0.012344893999397755}",5.8
59,Banana,98.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/4.jpg,"{'banana': 0.980052649974823, 'pitcher': 0.0010900049237534404, 'clog': 0.0010762391611933708, 'cucumber': 0.0008846647688187659, 'mixing bowl': 0.0006360316765494645}",6.9
60,Banana,8.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/2.jpg,"{'maraca': 0.07980513572692871, 'clog': 0.07572855055332184, 'hook': 0.05734413117170334, 'pencil sharpener': 0.03401390090584755, 'shoe shop': 0.031677864491939545}",0.6
61,Banana,80.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/13.jpg,"{'banana': 0.7998464703559875, 'paddle': 0.027730204164981842, 'hook': 0.02532561682164669, 'corkscrew': 0.023377610370516777, 'bow': 0.012613741680979729}",5.6
62,Banana,99.5,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/8.jpg,"{'banana': 0.9952945113182068, 'clog': 0.0003837225667666644, 'eel': 0.0002851034514605999, 'hook': 0.00016745094035286456, 'neck brace': 0.00016017093730624765}",7.0
63,Banana,98.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/6.jpg,"{'banana': 0.9841963648796082, 'butternut squash': 0.0017337051685899496, 'hook': 0.0006496052374131978, 'Granny Smith': 0.0005747547838836908, 'spaghetti squash': 0.0005109613412059844}",6.9
64,Car,62.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/3.jpg,"{'sports car': 0.6260631680488586, 'racer': 0.16742922365665436, 'convertible': 0.08201838284730911, 'grille': 0.021613169461488724, 'car wheel': 0.021565783768892288}",4.4
65,Car,14.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/11.jpg,"{'minivan': 0.14360688626766205, 'beach wagon': 0.08775084465742111, 'sports car': 0.05717341974377632, 'limousine': 0.053514327853918076, 'grille': 0.04546479508280754}",1.0
66,Car,37.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/10.jpg,"{'convertible': 0.371969610452652, 'beach wagon': 0.07840713858604431, 'sports car': 0.07647103816270828, 'minivan': 0.05084643512964249, 'car wheel': 0.04066632688045502}",2.6
67,Car,52.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/6.jpg,"{'sports car': 0.5218039155006409, 'racer': 0.34561899304389954, 'car wheel': 0.03325437381863594, 'convertible': 0.022265253588557243, 'beach wagon': 0.012719612568616867}",3.7
68,Car,27.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/16.jpg,"{'sports car': 0.2743130028247833, 'convertible': 0.07456159591674805, 'minivan': 0.05276859924197197, 'bullet train': 0.04211034998297691, 'racer': 0.01916954666376114}",1.9
69,Car,23.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/5.jpg,"{'cab': 0.23852290213108063, 'minivan': 0.21880629658699036, 'beach wagon': 0.06270202994346619, 'sports car': 0.042270928621292114, 'limousine': 0.03446685150265694}",1.7
70,Car,28.5,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/2.jpg,"{'sports car': 0.2852347791194916, 'beach wagon': 0.28202933073043823, 'racer': 0.0837591215968132, 'grille': 0.06843699514865875, 'car wheel': 0.037684183567762375}",2.0
71,Car,25.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/8.jpg,"{'beach wagon': 0.2562410831451416, 'car wheel': 0.14534638822078705, 'grille': 0.13197463750839233, 'sports car': 0.12304539233446121, 'racer': 0.045147765427827835}",1.8
72,Car,54.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/1.jpg,"{'beach wagon': 0.5417106747627258, 'limousine': 0.07719505578279495, 'jeep': 0.05749177560210228, 'pickup': 0.03216005116701126, 'minivan': 0.03171157091856003}",3.8
73,Car,28.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/7.jpg,"{'sports car': 0.28202322125434875, 'racer': 0.05915221571922302, 'car wheel': 0.05913190916180611, 'beach wagon': 0.02821606770157814, 'pickup': 0.026888858526945114}",2.0
74,Car,62.3,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/15.jpg,"{'sports car': 0.6225540041923523, 'racer': 0.34377846121788025, 'car wheel': 0.010842861607670784, 'convertible': 0.007676591631025076, 'Model T': 0.001180611434392631}",4.4
75,Car,13.7,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/13.jpg,"{'sports car': 0.1369916796684265, 'warplane': 0.10258955508470535, 'can opener': 0.035155829042196274, 'airliner': 0.032909639179706573, 'convertible': 0.02995935268700123}",1.0
76,Car,47.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/12.jpg,"{'beach wagon': 0.4720417261123657, 'car wheel': 0.11527451872825623, 'minivan': 0.09621736407279968, 'grille': 0.06083337962627411, 'sports car': 0.04724499583244324}",3.3
77,Car,13.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/4.jpg,"{'racer': 0.1301487386226654, 'convertible': 0.08200561255216599, 'police van': 0.0648660883307457, 'sports car': 0.06143295764923096, 'ambulance': 0.035912759602069855}",0.9
78,Car,41.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/14.jpg,"{'beach wagon': 0.4156704843044281, 'pickup': 0.14161425828933716, 'cab': 0.10641305148601532, 'minivan': 0.05392187833786011, 'grille': 0.05016140639781952}",2.9
79,Car,57.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Vehicle/Car/9.jpg,"{'beach wagon': 0.5741233229637146, 'minivan': 0.08649344742298126, 'pickup': 0.03534727171063423, 'cab': 0.025288676843047142, 'jeep': 0.02216276153922081}",4.0
