,type,dir,prob,id_label,readable_label
0,Mountain,../Image/All_Cropped\Mountain\1.jpg,0.5151216387748718,09193705-n,alp
1,Mountain,../Image/All_Cropped\Mountain\10.jpg,0.1951131522655487,09193705-n,alp
2,Mountain,../Image/All_Cropped\Mountain\11.jpg,0.061395060271024704,09193705-n,alp
3,Mountain,../Image/All_Cropped\Mountain\12.jpg,0.6036974787712097,09193705-n,alp
4,Mountain,../Image/All_Cropped\Mountain\13.jpg,0.007668227888643742,09193705-n,alp
5,Mountain,../Image/All_Cropped\Mountain\14.jpg,0.5393689870834351,09193705-n,alp
6,Mountain,../Image/All_Cropped\Mountain\15.jpg,0.0450408011674881,09193705-n,alp
7,Mountain,../Image/All_Cropped\Mountain\16.jpg,0.047003667801618576,09193705-n,alp
8,Mountain,../Image/All_Cropped\Mountain\2.jpg,0.007149914745241404,09193705-n,alp
9,Mountain,../Image/All_Cropped\Mountain\3.jpg,0.018389403820037842,09193705-n,alp
10,Mountain,../Image/All_Cropped\Mountain\4.jpg,0.044334664940834045,09193705-n,alp
11,Mountain,../Image/All_Cropped\Mountain\5.jpg,0.8248348236083984,09193705-n,alp
12,Mountain,../Image/All_Cropped\Mountain\6.jpg,0.0514163002371788,09193705-n,alp
13,Mountain,../Image/All_Cropped\Mountain\7.jpg,0.026718735694885254,09193705-n,alp
14,Mountain,../Image/All_Cropped\Mountain\8.jpg,0.07905291765928268,09193705-n,alp
15,Mountain,../Image/All_Cropped\Mountain\9.jpg,0.09864328056573868,09193705-n,alp
16,Beach,../Image/All_Cropped\Beach\1.jpg,0.4578949511051178,09428293-n,"seashore, coast, seacoast, sea-coast"
17,Beach,../Image/All_Cropped\Beach\10.jpg,0.07112834602594376,09428293-n,"seashore, coast, seacoast, sea-coast"
18,Beach,../Image/All_Cropped\Beach\11.jpg,0.002666526474058628,09428293-n,"seashore, coast, seacoast, sea-coast"
19,Beach,../Image/All_Cropped\Beach\12.jpg,0.7666631937026978,09428293-n,"seashore, coast, seacoast, sea-coast"
20,Beach,../Image/All_Cropped\Beach\13.jpg,0.3272513449192047,09428293-n,"seashore, coast, seacoast, sea-coast"
21,Beach,../Image/All_Cropped\Beach\14.jpg,0.46439129114151,09428293-n,"seashore, coast, seacoast, sea-coast"
22,Beach,../Image/All_Cropped\Beach\15.jpg,0.15647248923778534,09428293-n,"seashore, coast, seacoast, sea-coast"
23,Beach,../Image/All_Cropped\Beach\16.jpg,0.10199680924415588,09428293-n,"seashore, coast, seacoast, sea-coast"
24,Beach,../Image/All_Cropped\Beach\2.jpg,0.011235052719712257,09428293-n,"seashore, coast, seacoast, sea-coast"
25,Beach,../Image/All_Cropped\Beach\3.jpg,0.813378632068634,09428293-n,"seashore, coast, seacoast, sea-coast"
26,Beach,../Image/All_Cropped\Beach\4.jpg,0.813164472579956,09428293-n,"seashore, coast, seacoast, sea-coast"
27,Beach,../Image/All_Cropped\Beach\5.jpg,0.8958523273468018,09428293-n,"seashore, coast, seacoast, sea-coast"
28,Beach,../Image/All_Cropped\Beach\6.jpg,0.4676370918750763,09428293-n,"seashore, coast, seacoast, sea-coast"
29,Beach,../Image/All_Cropped\Beach\7.jpg,0.6334468126296997,09428293-n,"seashore, coast, seacoast, sea-coast"
30,Beach,../Image/All_Cropped\Beach\8.jpg,0.3682854473590851,09428293-n,"seashore, coast, seacoast, sea-coast"
31,Beach,../Image/All_Cropped\Beach\9.jpg,0.1860739141702652,09428293-n,"seashore, coast, seacoast, sea-coast"
32,Mug,../Image/All_Cropped\Mug\1.jpg,0.011179978959262371,03063599-n,coffee mug
33,Mug,../Image/All_Cropped\Mug\10.jpg,0.012391529977321625,03063599-n,coffee mug
34,Mug,../Image/All_Cropped\Mug\11.jpg,0.10276058316230774,03063599-n,coffee mug
35,Mug,../Image/All_Cropped\Mug\12.jpg,0.02058015577495098,03063599-n,coffee mug
36,Mug,../Image/All_Cropped\Mug\13.jpg,0.0474398210644722,03063599-n,coffee mug
37,Mug,../Image/All_Cropped\Mug\14.jpg,0.05082197114825249,03063599-n,coffee mug
38,Mug,../Image/All_Cropped\Mug\15.jpg,0.5442577004432678,03063599-n,coffee mug
39,Mug,../Image/All_Cropped\Mug\16.jpg,0.08645570278167725,03063599-n,coffee mug
40,Mug,../Image/All_Cropped\Mug\2.jpeg,0.07090079039335251,03063599-n,coffee mug
41,Mug,../Image/All_Cropped\Mug\3.jpg,0.0019385598134249449,03063599-n,coffee mug
42,Mug,../Image/All_Cropped\Mug\4.jpg,0.0009066922939382493,03063599-n,coffee mug
43,Mug,../Image/All_Cropped\Mug\5.jpg,0.026760870590806007,03063599-n,coffee mug
44,Mug,../Image/All_Cropped\Mug\6.jpg,0.5731248259544373,03063599-n,coffee mug
45,Mug,../Image/All_Cropped\Mug\7.jpg,0.06558901816606522,03063599-n,coffee mug
46,Mug,../Image/All_Cropped\Mug\8.jpg,0.07891285419464111,03063599-n,coffee mug
47,Mug,../Image/All_Cropped\Mug\9.jpeg,0.03674041107296944,03063599-n,coffee mug
48,Banana,../Image/All_Cropped\Banana\1.jpg,0.9920098781585693,07753592-n,banana
49,Banana,../Image/All_Cropped\Banana\10.jpg,0.7368877530097961,07753592-n,banana
50,Banana,../Image/All_Cropped\Banana\11.jpg,0.005923419259488583,07753592-n,banana
51,Banana,../Image/All_Cropped\Banana\12.jpg,0.0004263687878847122,07753592-n,banana
52,Banana,../Image/All_Cropped\Banana\13.jpg,0.47342851758003235,07753592-n,banana
53,Banana,../Image/All_Cropped\Banana\14.jpg,0.6328126788139343,07753592-n,banana
54,Banana,../Image/All_Cropped\Banana\15.jpg,0.026008622720837593,07753592-n,banana
55,Banana,../Image/All_Cropped\Banana\16.jpg,0.8288285136222839,07753592-n,banana
56,Banana,../Image/All_Cropped\Banana\2.jpg,0.13221584260463715,07753592-n,banana
57,Banana,../Image/All_Cropped\Banana\3.jpg,0.160272479057312,07753592-n,banana
58,Banana,../Image/All_Cropped\Banana\4.jpg,0.7189045548439026,07753592-n,banana
59,Banana,../Image/All_Cropped\Banana\5.jpg,0.878143846988678,07753592-n,banana
60,Banana,../Image/All_Cropped\Banana\6.jpg,0.9778322577476501,07753592-n,banana
61,Banana,../Image/All_Cropped\Banana\7.jpg,0.9997474551200867,07753592-n,banana
62,Banana,../Image/All_Cropped\Banana\8.jpg,0.9945064187049866,07753592-n,banana
63,Banana,../Image/All_Cropped\Banana\9.jpg,0.8218469023704529,07753592-n,banana
64,Car,../Image/All_Cropped\Car\1.jpg,0.15760357677936554,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
