,type,dir,id_labels,readable_labels
84,Plane,Image/All_Cropped\Plane\14.jpg,"{'03933933-n': 0.28477931022644043, '04311004-n': 0.1363387107849121, '04366367-n': 0.11974956095218658, '03160309-n': 0.11806932091712952, '03874293-n': 0.052270520478487015, '04204347-n': 0.02161826379597187, '04347754-n': 0.016194520518183708, '02950826-n': 0.014185048639774323, '04606251-n': 0.013715723529458046, '03000134-n': 0.013241365551948547}","{'pier': 0.28477931022644043, 'steel arch bridge': 0.1363387107849121, 'suspension bridge': 0.11974956095218658, 'dam': 0.11806932091712952, 'paddlewheel': 0.052270520478487015, 'shopping cart': 0.02161826379597187, 'submarine': 0.016194520518183708, 'cannon': 0.014185048639774323, 'wreck': 0.013715723529458046, 'chainlink fence': 0.013241365551948547}"
85,Plane,Image/All_Cropped\Plane\15.jpg,"{'04273569-n': 0.29896730184555054, '03873416-n': 0.16061155498027802, '04483307-n': 0.15876929461956024, '02951358-n': 0.0998556911945343, '09332890-n': 0.0814850777387619, '09421951-n': 0.05237393453717232, '02981792-n': 0.03917583078145981, '03216828-n': 0.01806083880364895, '09428293-n': 0.014495527371764183, '02704792-n': 0.014429791830480099}","{'speedboat': 0.29896730184555054, 'paddle': 0.16061155498027802, 'trimaran': 0.15876929461956024, 'canoe': 0.0998556911945343, 'lakeside': 0.0814850777387619, 'sandbar': 0.05237393453717232, 'catamaran': 0.03917583078145981, 'dock': 0.01806083880364895, 'seashore': 0.014495527371764183, 'amphibian': 0.014429791830480099}"
86,Plane,Image/All_Cropped\Plane\16.jpg,"{'04552348-n': 0.26700785756111145, '04008634-n': 0.16646718978881836, '03773504-n': 0.1323767900466919, '04266014-n': 0.1301184445619583, '02690373-n': 0.09458575397729874, '02687172-n': 0.06035635620355606, '04273569-n': 0.03376874700188637, '04376876-n': 0.024534907191991806, '04347754-n': 0.01467477809637785, '04592741-n': 0.010662931017577648}","{'warplane': 0.26700785756111145, 'projectile': 0.16646718978881836, 'missile': 0.1323767900466919, 'space shuttle': 0.1301184445619583, 'airliner': 0.09458575397729874, 'aircraft carrier': 0.06035635620355606, 'speedboat': 0.03376874700188637, 'syringe': 0.024534907191991806, 'submarine': 0.01467477809637785, 'wing': 0.010662931017577648}"
87,Plane,Image/All_Cropped\Plane\2.jpg,"{'04273569-n': 0.2353522628545761, '04592741-n': 0.09383574873209, '03662601-n': 0.0698554739356041, '04483307-n': 0.03753655403852463, '02690373-n': 0.03138886019587517, '02687172-n': 0.027264757081866264, '04456115-n': 0.02429865673184395, '04252077-n': 0.0188312791287899, '04037443-n': 0.017033616080880165, '04266014-n': 0.01483086682856083}","{'speedboat': 0.2353522628545761, 'wing': 0.09383574873209, 'lifeboat': 0.0698554739356041, 'trimaran': 0.03753655403852463, 'airliner': 0.03138886019587517, 'aircraft carrier': 0.027264757081866264, 'torch': 0.02429865673184395, 'snowmobile': 0.0188312791287899, 'racer': 0.017033616080880165, 'space shuttle': 0.01483086682856083}"
88,Plane,Image/All_Cropped\Plane\3.jpg,"{'03461385-n': 0.561353325843811, '04376876-n': 0.08158647269010544, '04462240-n': 0.05648478865623474, '03089624-n': 0.05580409988760948, '04200800-n': 0.04233994334936142, '04443257-n': 0.03604736551642418, '06596364-n': 0.030280329287052155, '02871525-n': 0.009645340032875538, '02776631-n': 0.008938699960708618, '03697007-n': 0.006415507290512323}","{'grocery store': 0.561353325843811, 'syringe': 0.08158647269010544, 'toyshop': 0.05648478865623474, 'confectionery': 0.05580409988760948, 'shoe shop': 0.04233994334936142, 'tobacco shop': 0.03604736551642418, 'comic book': 0.030280329287052155, 'bookshop': 0.009645340032875538, 'bakery': 0.008938699960708618, 'lumbermill': 0.006415507290512323}"
89,Plane,Image/All_Cropped\Plane\4.jpg,"{'04266014-n': 0.794098436832428, '04483307-n': 0.09267377853393555, '02981792-n': 0.043211884796619415, '02690373-n': 0.03045516088604927, '04008634-n': 0.007755300961434841, '04389033-n': 0.006898180581629276, '04347754-n': 0.0036098980344831944, '04552348-n': 0.0019506446551531553, '04346328-n': 0.0019460440380498767, '03773504-n': 0.0019063287181779742}","{'space shuttle': 0.794098436832428, 'trimaran': 0.09267377853393555, 'catamaran': 0.043211884796619415, 'airliner': 0.03045516088604927, 'projectile': 0.007755300961434841, 'tank': 0.006898180581629276, 'submarine': 0.0036098980344831944, 'warplane': 0.0019506446551531553, 'stupa': 0.0019460440380498767, 'missile': 0.0019063287181779742}"
90,Plane,Image/All_Cropped\Plane\5.jpg,"{'02690373-n': 0.8290491700172424, '02687172-n': 0.08165816962718964, '04552348-n': 0.07961820811033249, '04592741-n': 0.00593962799757719, '03773504-n': 0.0016685834852978587, '04008634-n': 0.0009382301359437406, '04266014-n': 0.0006722445832565427, '02692877-n': 0.0002694696595426649, '04336792-n': 4.895823076367378e-05, '04467665-n': 3.388686673133634e-05}","{'airliner': 0.8290491700172424, 'aircraft carrier': 0.08165816962718964, 'warplane': 0.07961820811033249, 'wing': 0.00593962799757719, 'missile': 0.0016685834852978587, 'projectile': 0.0009382301359437406, 'space shuttle': 0.0006722445832565427, 'airship': 0.0002694696595426649, 'stretcher': 4.895823076367378e-05, 'trailer truck': 3.388686673133634e-05}"
91,Plane,Image/All_Cropped\Plane\6.jpg,"{'02690373-n': 0.8265121579170227, '04592741-n': 0.11546947807073593, '06874185-n': 0.03092852234840393, '03933933-n': 0.010687113739550114, '03126707-n': 0.0059611136093735695, '04552348-n': 0.00453267153352499, '03976657-n': 0.002984842052683234, '02687172-n': 0.0009198482148349285, '03216828-n': 0.000392302026739344, '04008634-n': 0.0002666779619175941}","{'airliner': 0.8265121579170227, 'wing': 0.11546947807073593, 'traffic light': 0.03092852234840393, 'pier': 0.010687113739550114, 'crane': 0.0059611136093735695, 'warplane': 0.00453267153352499, 'pole': 0.002984842052683234, 'aircraft carrier': 0.0009198482148349285, 'dock': 0.000392302026739344, 'projectile': 0.0002666779619175941}"
92,Plane,Image/All_Cropped\Plane\7.jpg,"{'04008634-n': 0.29562118649482727, '02690373-n': 0.2734987735748291, '03773504-n': 0.09831412136554718, '04266014-n': 0.038436200469732285, '02749479-n': 0.027533158659934998, '04090263-n': 0.023473573848605156, '04552348-n': 0.02255714125931263, '03388043-n': 0.02085125260055065, '04592741-n': 0.01842331886291504, '04389033-n': 0.01629825495183468}","{'projectile': 0.29562118649482727, 'airliner': 0.2734987735748291, 'missile': 0.09831412136554718, 'space shuttle': 0.038436200469732285, 'assault rifle': 0.027533158659934998, 'rifle': 0.023473573848605156, 'warplane': 0.02255714125931263, 'fountain': 0.02085125260055065, 'wing': 0.01842331886291504, 'tank': 0.01629825495183468}"
93,Plane,Image/All_Cropped\Plane\8.jpg,"{'04118776-n': 0.09126821905374527, '03840681-n': 0.053633734583854675, '03982430-n': 0.04868241772055626, '03485407-n': 0.04489520192146301, '04039381-n': 0.030873475596308708, '03706229-n': 0.03032665327191353, '04317175-n': 0.029849877581000328, '03908618-n': 0.025691278278827667, '02879718-n': 0.02415422536432743, '02708093-n': 0.022736381739377975}","{'rule': 0.09126821905374527, 'ocarina': 0.053633734583854675, 'pool table': 0.04868241772055626, 'hand-held computer': 0.04489520192146301, 'racket': 0.030873475596308708, 'magnetic compass': 0.03032665327191353, 'stethoscope': 0.029849877581000328, 'pencil box': 0.025691278278827667, 'bow': 0.02415422536432743, 'analog clock': 0.022736381739377975}"
