,type,dir,prob,id_label,readable_label
0,Mountain,../Image/All_Cropped\Mountain\1.jpg,0.020161712542176247,09193705-n,alp
1,Mountain,../Image/All_Cropped\Mountain\10.jpg,0.21241448819637299,09193705-n,alp
2,Mountain,../Image/All_Cropped\Mountain\11.jpg,0.6954638361930847,09193705-n,alp
3,Mountain,../Image/All_Cropped\Mountain\12.jpg,0.5897970795631409,09193705-n,alp
4,Mountain,../Image/All_Cropped\Mountain\13.jpg,0.08803190290927887,09193705-n,alp
5,Mountain,../Image/All_Cropped\Mountain\14.jpg,0.4989626407623291,09193705-n,alp
6,Mountain,../Image/All_Cropped\Mountain\15.jpg,0.3847689628601074,09193705-n,alp
7,Mountain,../Image/All_Cropped\Mountain\16.jpg,0.08504347503185272,09193705-n,alp
8,Mountain,../Image/All_Cropped\Mountain\2.jpg,0.011823266744613647,09193705-n,alp
9,Mountain,../Image/All_Cropped\Mountain\3.jpg,0.19879299402236938,09193705-n,alp
10,Mountain,../Image/All_Cropped\Mountain\4.jpg,0.07367131859064102,09193705-n,alp
11,Mountain,../Image/All_Cropped\Mountain\5.jpg,0.8824065923690796,09193705-n,alp
12,Mountain,../Image/All_Cropped\Mountain\6.jpg,0.10065200924873352,09193705-n,alp
13,Mountain,../Image/All_Cropped\Mountain\7.jpg,0.1089213415980339,09193705-n,alp
14,Mountain,../Image/All_Cropped\Mountain\8.jpg,0.15335316956043243,09193705-n,alp
15,Mountain,../Image/All_Cropped\Mountain\9.jpg,0.3333219289779663,09193705-n,alp
16,Beach,../Image/All_Cropped\Beach\1.jpg,0.25346800684928894,09428293-n,"seashore, coast, seacoast, sea-coast"
17,Beach,../Image/All_Cropped\Beach\10.jpg,0.5151326656341553,09428293-n,"seashore, coast, seacoast, sea-coast"
18,Beach,../Image/All_Cropped\Beach\11.jpg,0.07013799250125885,09428293-n,"seashore, coast, seacoast, sea-coast"
19,Beach,../Image/All_Cropped\Beach\12.jpg,0.4039233326911926,09428293-n,"seashore, coast, seacoast, sea-coast"
20,Beach,../Image/All_Cropped\Beach\13.jpg,0.2787395715713501,09428293-n,"seashore, coast, seacoast, sea-coast"
21,Beach,../Image/All_Cropped\Beach\14.jpg,0.5317563414573669,09428293-n,"seashore, coast, seacoast, sea-coast"
22,Beach,../Image/All_Cropped\Beach\15.jpg,0.14965099096298218,09428293-n,"seashore, coast, seacoast, sea-coast"
23,Beach,../Image/All_Cropped\Beach\16.jpg,0.07973866164684296,09428293-n,"seashore, coast, seacoast, sea-coast"
24,Beach,../Image/All_Cropped\Beach\2.jpg,0.24565444886684418,09428293-n,"seashore, coast, seacoast, sea-coast"
25,Beach,../Image/All_Cropped\Beach\3.jpg,0.7408772110939026,09428293-n,"seashore, coast, seacoast, sea-coast"
26,Beach,../Image/All_Cropped\Beach\4.jpg,0.4620717763900757,09428293-n,"seashore, coast, seacoast, sea-coast"
27,Beach,../Image/All_Cropped\Beach\5.jpg,0.6587571501731873,09428293-n,"seashore, coast, seacoast, sea-coast"
28,Beach,../Image/All_Cropped\Beach\6.jpg,0.21890750527381897,09428293-n,"seashore, coast, seacoast, sea-coast"
29,Beach,../Image/All_Cropped\Beach\7.jpg,0.3062776029109955,09428293-n,"seashore, coast, seacoast, sea-coast"
30,Beach,../Image/All_Cropped\Beach\8.jpg,0.3141917586326599,09428293-n,"seashore, coast, seacoast, sea-coast"
31,Beach,../Image/All_Cropped\Beach\9.jpg,0.4228431284427643,09428293-n,"seashore, coast, seacoast, sea-coast"
32,Mug,../Image/All_Cropped\Mug\1.jpg,0.6889994740486145,03063599-n,coffee mug
33,Mug,../Image/All_Cropped\Mug\10.jpg,0.320395290851593,03063599-n,coffee mug
34,Mug,../Image/All_Cropped\Mug\11.jpg,0.2088254690170288,03063599-n,coffee mug
35,Mug,../Image/All_Cropped\Mug\12.jpg,0.054952193051576614,03063599-n,coffee mug
36,Mug,../Image/All_Cropped\Mug\13.jpg,0.03890763223171234,03063599-n,coffee mug
37,Mug,../Image/All_Cropped\Mug\14.jpg,0.03243265673518181,03063599-n,coffee mug
38,Mug,../Image/All_Cropped\Mug\15.jpg,0.16768279671669006,03063599-n,coffee mug
39,Mug,../Image/All_Cropped\Mug\16.jpg,0.4557145833969116,03063599-n,coffee mug
40,Mug,../Image/All_Cropped\Mug\2.jpeg,0.3367800712585449,03063599-n,coffee mug
41,Mug,../Image/All_Cropped\Mug\3.jpg,0.002084739739075303,03063599-n,coffee mug
42,Mug,../Image/All_Cropped\Mug\4.jpg,0.03266727179288864,03063599-n,coffee mug
43,Mug,../Image/All_Cropped\Mug\5.jpg,0.07088887691497803,03063599-n,coffee mug
